person,position,start,end,prev,next,ps
Q2662569,Q19305384,1999-06-08,2007-06-12,,,statement/Q2662569-002F6BE3-748A-4D17-A31A-641AFB9D01AC
Q2672080,Q19305384,2003-06-10,2011-06-07,,,statement/Q2672080-F09EB3C1-419D-4197-A443-5C055C5A8A50
Q2672288,Q19305384,1991-06-11,2007-06-12,,,statement/Q2672288-29708DF5-F503-46B7-8132-6AE656ABDE91
Q2675186,Q19305384,2006-10-31,2007-06-12,,,statement/Q2675186-383B8F7E-5C61-46C6-BD54-8DC1BC635282
Q2677795,Q19305384,1999-06-08,2003-06-10,,,statement/Q2677795-A3789A61-E36F-4118-BA33-FFD968C2A515
Q2680679,Q19305384,1991-06-11,2015-06-09,,,statement/Q2680679-A5E8FD40-4D67-4201-A025-A2B4C73CD0B8
Q2682088,Q19305384,2018-04-03,2019-06-11,,,statement/Q2682088-101b975f-4399-c9bf-c058-4f2963c8daee
Q2682088,Q19305384,2021-10-12,,,,statement/Q2682088-14fed9e1-4719-7806-308f-6e763870023f
Q2683414,Q19305384,2011-06-07,2015-06-09,,,statement/Q2683414-FB94C2DC-4AE4-43BA-B8BA-0561928995B6
Q2684477,Q19305384,2003-06-10,2007-06-12,,,statement/Q2684477-E24A0D59-BED5-456A-A83A-9C9ABDFC0D24
Q2697618,Q19305384,2007-06-12,2019-06-11,,,statement/Q2697618-1791E305-4F94-41F0-A6EA-1FE539276DE2
Q27042965,Q19305384,2016-09-13,2016-12-22,,,statement/Q27042965-534eaa10-46b8-34ed-8a55-526f1d566a5a
Q2705430,Q19305384,2002-05-28,2003-06-10,,,statement/Q2705430-1844D5D0-9BEB-4106-94DD-F230C3C185C3
Q2706539,Q19305384,1995-06-13,2007-06-12,,,statement/Q2706539-7B0EAEB1-EB5C-4D62-A719-5A3EB3D5CE73
Q2726743,Q19305384,1999-06-08,2011-06-07,,,statement/Q2726743-AB5E8E3A-142A-4AB5-8625-A9A76156277A
Q2730576,Q19305384,2011-06-07,2018-03-28,,,statement/Q2730576-EB49FFB2-4830-4DC6-BDE9-D8AB7E30D7A3
Q2734509,Q19305384,1995-06-13,2007-06-12,,,statement/Q2734509-66CFCDA4-1EA9-40B4-B501-E10895137B29
Q2738325,Q19305384,2007-06-12,2009-06-09,,,statement/Q2738325-F14ED396-462C-4F1E-AAA1-8FAFEC376842
Q2741884,Q19305384,2011-06-07,2015-06-09,,,statement/Q2741884-8DFACDD2-26A9-4894-A4AC-156E390A0959
Q2741884,Q19305384,2015-09-08,2015-12-29,Q2403818,,statement/Q2741884-d6f0dc60-43b3-136e-ba3d-149537f94119
Q2741884,Q19305384,2017-03-28,2019-06-11,,,statement/Q2741884-1a53d385-4f17-dd45-0dd9-b557d179e1b7
Q2741937,Q19305384,2003-06-10,2007-06-12,,,statement/Q2741937-31282FF3-26DB-4F1E-B70E-813299DD559C
Q2742104,Q19305384,1999-06-08,2011-06-07,,,statement/Q2742104-24EE9409-C0B8-4C98-9EFA-150BD8A0ABA8
Q2742860,Q19305384,2015-06-09,2019-06-11,,,statement/Q2742860-A3B31B18-8B09-4524-AEAF-D1BC48AE0534
Q2752751,Q19305384,2003-06-10,2011-06-07,,,statement/Q2752751-3263C61A-1B81-4DC5-875E-9E2C0B322F6A
Q27660943,Q19305384,2018-10-09,2019-01-24,,,statement/Q27660943-584a315b-3227-4b9c-9c06-4f818fce5db4
Q27660943,Q19305384,2019-01-29,2019-06-11,,,statement/Q27660943-ae9cecd3-4c45-f90a-c853-ac879da1f324
Q2770742,Q19305384,1995-06-13,2011-06-07,,,statement/Q2770742-167EBE0C-647F-40F1-95D7-C6A00E05A6C6
Q2780973,Q19305384,1999-06-08,2007-06-12,,,statement/Q2780973-382D84DC-D9E3-4D8D-9DDE-BDAD161A68D9
Q2781892,Q19305384,1999-06-08,2003-06-10,,,statement/Q2781892-4defb176-46bc-592f-ee16-a6ace6f0b6df
Q2781892,Q19305384,2007-06-12,2015-06-09,,,statement/Q2781892-F11753EE-C7A7-4136-946B-7D1CB71A1D21
Q2783937,Q19305384,2000-09-05,2011-06-07,,,statement/Q2783937-3042C691-E291-4B41-82EC-68786D863CAF
Q2787675,Q19305384,2003-06-10,2015-06-09,,,statement/Q2787675-1FB39F26-6C83-4FC6-936A-87FEB36B2361
Q27968571,Q19305384,2016-12-06,2019-06-11,,,statement/Q27968571-ef038a13-4df1-65ca-0812-95be59ad6b05
Q2798280,Q19305384,1999-06-08,2011-06-07,,,statement/Q2798280-1538A5B4-A5C0-4981-95D7-598C1712CE3D
Q2801440,Q19305384,2015-06-09,2017-03-23,,,statement/Q2801440-5fcec310-4476-6c90-ece3-cca19f116279
Q2801440,Q19305384,2019-06-11,,,,statement/Q2801440-5B1A30D8-91D5-42EE-9BB8-9695D3B9F316
Q2843702,Q19305384,2007-06-12,2016-10-01,,,statement/Q2843702-B57E0CAB-9BD9-4EF1-A65F-567706A3BFF3
Q2876197,Q19305384,2007-06-12,2019-06-11,,,statement/Q2876197-6DBBED6C-041E-4CA6-ABE7-437D1B9B242F
Q28860638,Q19305384,2018-10-16,2019-03-12,,,statement/Q28860638-88493ac3-b559-4e4c-8e84-b8fb3f6a07f1
Q28860676,Q19305384,2019-06-11,,,,statement/Q28860676-9da51eee-4a83-0182-6370-2940fd96019a
Q28861881,Q19305384,2019-06-11,,,,statement/Q28861881-434e2cab-4c55-4235-50f6-12dd6b5288e8
Q28861903,Q19305384,2017-03-28,2019-06-11,,,statement/Q28861903-c6504b82-ed4e-42f5-bcad-67b75ebec7e3
Q28862418,Q19305384,2019-06-11,2019-07-28,,,statement/Q28862418-32fc3b85-4d0b-b3cc-4744-4a672a7d78c3
Q28862418,Q19305384,2019-07-28,,,,statement/Q28862418-3c99f041-4656-591e-c904-31bd82e9426a
Q28862422,Q19305384,2019-06-11,2022-03-31,,,statement/Q28862422-f166c84b-4e18-cb38-6250-5069f49bd5ba
Q28862422,Q19305384,2022-03-31,,,,statement/Q28862422-4002f845-4095-ff79-3686-4c1cbd1fe4c4
Q28862440,Q19305384,2019-06-11,2019-08-20,,,statement/Q28862440-1be4e06a-4ba0-8237-0a51-3f8970b9618f
Q28862440,Q19305384,2019-08-20,,,,statement/Q28862440-85380af6-4c96-71a2-a3b3-516055672bf3
Q28862461,Q19305384,2020-10-26,2020-11-30,,,statement/Q28862461-5cef8936-4e87-1e90-7c6f-07941bdedc12
Q28862461,Q19305384,2020-11-30,,,,statement/Q28862461-65f7c21b-4951-418c-e4b4-7a0eaf54e86d
Q29001708,Q19305384,2017-03-21,,,,statement/Q29001708-77ce0c1f-47b2-21f8-19b5-3cee1e56c63d
Q2905038,Q19305384,2003-06-10,2015-06-09,,,statement/Q2905038-6229D7C4-BA25-4301-8BE5-2E18B23C8726
Q29054517,Q19305384,2017-03-28,,,,statement/Q29054517-9836b71b-c51e-4da7-9431-1fa6dc0bedd6
Q2915348,Q19305384,2009-11-03,2011-06-07,,,statement/Q2915348-DA312079-BAD9-4E5F-AE7C-6FB89D093525
Q2916361,Q19305384,1983-09-13,2011-06-07,,,statement/Q2916361-EA57BB2F-1335-4DD6-90DF-9E1B7E2D3813
Q2916448,Q19305384,2019-06-11,2020-01-29,,,statement/Q2916448-d05a9ca9-4200-dea2-a4ac-ee8ae45652de
Q3007694,Q19305384,2015-06-09,2019-06-11,,,statement/Q3007694-33B029A9-6E63-4EDE-88B5-C928728D0D0A
Q3020771,Q19305384,1991-06-11,2003-06-10,,,statement/Q3020771-066A0454-684B-4FC4-A4BB-9DBF0CD924DD
Q302680,Q19305384,1999-06-08,2007-01-01,,,statement/Q302680-9C8AF0C1-BDB2-4206-B8A7-2E8BDA9E4C38
Q303926,Q19305384,2003-06-10,2007-02-22,,,statement/Q303926-75215f54-40e5-6708-7960-83983cb4718c
Q304262,Q19305384,1995-06-13,2007-06-12,,,statement/Q304262-E011BEFC-C7D3-4B61-8984-5F983C5A2126
Q3054787,Q19305384,2011-06-07,2018-09-20,,,statement/Q3054787-6D6AA59B-D241-473E-B094-66F698BACA85
Q3057862,Q19305384,2007-06-12,2019-06-11,,,statement/Q3057862-18A951A4-C482-4D97-A002-9C717C1169EB
Q3060805,Q19305384,2011-06-07,,,,statement/Q3060805-F314483C-B4EC-41AD-9411-445710989753
Q3072062,Q19305384,2003-06-10,2007-06-12,,,statement/Q3072062-3AC31188-3811-4DF9-9F7D-211A93C45639
Q3086771,Q19305384,2011-06-07,2015-06-09,,,statement/Q3086771-4209C45C-F788-4490-8544-663084FC0FD1
Q3097890,Q19305384,1995-06-13,2003-06-10,,,statement/Q3097890-38E93E41-C495-4174-AAF6-1240CE0524BB
Q3147680,Q19305384,2011-06-07,2019-06-11,,,statement/Q3147680-D82174F7-08DD-48C2-8E89-94B3470FFA74
Q3259044,Q19305384,2015-06-09,2017-03-16,,,statement/Q3259044-A70410CB-564C-43F1-91DD-D37EE09AAA2F
Q3309029,Q19305384,1991-02-05,2003-06-10,,,statement/Q3309029-9390145D-4464-451B-A6FE-13DB7F5D1607
Q3358759,Q19305384,2007-03-06,2007-06-12,,,statement/Q3358759-DB8E1D57-8AD6-4E04-A979-D4AC1F9AC466
Q3406504,Q19305384,2003-06-10,2004-09-28,,,statement/Q3406504-3257FC42-E3D7-46DA-92B6-3EC85E75356A
Q3439649,Q19305384,2011-06-07,2015-06-09,,,statement/Q3439649-7A790B11-08DC-4536-BC89-B33365EA50C8
Q347781,Q19305384,2015-06-09,2021-09-24,,,statement/Q347781-9267c69b-37a4-400c-810d-afc2aafc0d7f
Q347781,Q19305384,2022-02-08,,,,statement/Q347781-544f243a-4900-2725-18b3-1c475ade9302
Q3501388,Q19305384,1995-06-13,2003-06-10,,,statement/Q3501388-5A731EAB-9D72-42E4-BF48-7D37F4848D39
Q42532175,Q19305384,2019-06-11,2020-10-26,,,statement/Q42532175-fabca5a7-4e32-f981-91b0-ffecc476f0e4
Q42532175,Q19305384,2021-02-15,,,,statement/Q42532175-9aeaef66-4381-0771-0381-8f50d1b88d88
Q4280928,Q19305384,2007-06-12,2011-06-07,,,statement/Q4280928-474EA908-3C34-4200-AD4F-10F84A72287B
Q4300004,Q19305384,2007-06-12,2019-06-11,,,statement/Q4300004-1CD739FA-B70A-4EC6-B7E2-D2E93ED5CCF3
Q442061,Q19305384,2019-06-11,,,,statement/Q442061-b15a9cc7-48a6-d394-2e72-dcce6ebf62d5
Q4432211,Q19305384,2007-06-12,2011-06-07,,,statement/Q4432211-E3BD24B7-E9D9-4946-87D4-A354C76ADEFA
Q447079,Q19305384,2015-06-09,,,,statement/Q447079-52a42ca9-49d0-28bf-43e1-945fd1830086
Q4503123,Q19305384,1995-06-13,2003-06-10,,,statement/Q4503123-61FB51A4-E0EC-4137-AE14-386939CEB720
Q455276,Q19305384,2011-06-07,2019-06-11,,,statement/Q455276-A281893D-B0CC-4A14-A7AC-AE5945F614F5
Q457706,Q19305384,1991-06-11,2001-10-02,,,statement/Q457706-41465151-428c-ec29-bad4-80109a46914f
Q459504,Q19305384,2011-06-07,2015-06-09,,,statement/Q459504-E99233D7-73AC-4873-8A74-70F562FDBED6
Q461460,Q19305384,2015-06-09,,,,statement/Q461460-2E779525-0DDD-416C-8BCF-CB82FC505922
Q466569,Q19305384,2007-06-12,2010-10-14,,,statement/Q466569-3963F94B-DDDC-428E-B8BF-BAED0956C3CB
Q467833,Q19305384,2019-06-11,,,,statement/Q467833-05e544c4-4278-cb0c-074d-3bfae9a254ac
Q510545,Q19305384,2011-06-07,2018-02-09,,,statement/Q510545-8E3F0358-2928-437D-9D1C-0FC78ADAA415
Q5124472,Q19305384,2011-06-07,2019-06-11,,,statement/Q5124472-7D1E9B3B-B12A-4575-90BE-93C1BBD71B12
Q52216199,Q19305384,2019-06-11,,,,statement/Q52216199-6080f2ff-ee28-412b-919b-b590b318affc
Q5233180,Q19305384,2015-06-09,,,,statement/Q5233180-33853385-2871-4F00-996A-A143EDFC593E
Q5364345,Q19305384,2003-06-10,2015-06-09,,,statement/Q5364345-212648E5-E25C-46D2-886C-E756B43DC6E4
Q547261,Q19305384,2003-06-10,2011-06-07,,,statement/Q547261-A5B91121-2B06-4324-B493-F43305B6D343
Q5600082,Q19305384,2007-06-12,2011-06-07,,,statement/Q5600082-6CB26433-71DA-4FBA-A451-72D558B19623
Q560481,Q19305384,2015-06-09,,,,statement/Q560481-16920f28-40e3-4c4e-1a68-f347954e1043
Q56596736,Q19305384,2018-09-11,2020-10-16,,,statement/Q56596736-ef4593e2-4fa8-ac49-8289-ff641512bcc2
Q572209,Q19305384,1999-06-08,2015-06-09,,,statement/Q572209-282491E9-4989-4B9A-AF83-A9453DB4A78C
Q607189,Q19305384,1999-06-08,2007-06-02,,,statement/Q607189-FE1E7819-5F88-412C-8F08-2EE39182F067
Q607189,Q19305384,1999-06-08,2007-06-12,,,statement/Q607189-FE1E7819-5F88-412C-8F08-2EE39182F067
Q61741012,Q19305384,2020-02-04,,,,statement/Q61741012-d66a37a8-2216-450b-bfca-aaf89d3e56a2
Q64590182,Q19305384,2019-06-11,,,,statement/Q64590182-00fdd49e-44ce-378b-1b0c-5845dab8d6a9
Q64590194,Q19305384,2019-06-11,2021-03-31,,,statement/Q64590194-209af777-4ab9-8ad0-d601-a3a67ec38c1c
Q64590304,Q19305384,2019-06-11,2020-02-09,,,statement/Q64590304-49af4518-4303-fc99-b90e-4a19d386e9f6
Q64590304,Q19305384,2019-06-11,2020-02-11,,,statement/Q64590304-49af4518-4303-fc99-b90e-4a19d386e9f6
Q64604936,Q19305384,2019-06-11,2020-11-29,,,statement/Q64604936-29e52822-4b7b-9070-9e6f-b6183b0733f3
Q64604936,Q19305384,2020-11-29,,,,statement/Q64604936-c4be474d-41f0-f4a2-b422-aaf237dec88c
Q64667220,Q19305384,2019-06-11,2020-12-14,,,statement/Q64667220-54346b87-a6c4-4353-a11d-456f034174a5
Q64667220,Q19305384,2020-12-14,,,,statement/Q64667220-82bd09d5-48e9-01c9-bc75-ddcdba45ff9e
Q64667224,Q19305384,2019-06-11,2020-11-30,,,statement/Q64667224-ce5a76b9-42b8-5cb3-a788-9a7218d1fd4b
Q64667224,Q19305384,2020-11-30,,,,statement/Q64667224-bc95878d-4f5e-5f45-0ffe-66caccf26f8d
Q64706397,Q19305384,2019-06-11,,,,statement/Q64706397-0ef21002-4bfb-0746-d4a8-f6970d98a105
Q64711678,Q19305384,2019-06-11,2022-01-10,,,statement/Q64711678-67526fa5-41a5-97d1-8194-feecfa22d473
Q64847392,Q19305384,2019-06-11,,,,statement/Q64847392-357b44e8-4c85-7d24-d311-bcba20fbf3b4
Q649344,Q19305384,1999-06-08,2007-06-12,,,statement/Q649344-73CCDDCB-A781-45D7-8834-A2EBF59CC9BA
Q64995518,Q19305384,2019-06-11,,,,statement/Q64995518-c4425ae5-4cfd-b52f-e4ef-df805d068046
Q65008764,Q19305384,2019-06-11,,,,statement/Q65008764-c895e1b3-4061-2aa5-075c-59b06d3143ab
Q65009149,Q19305384,2019-06-11,,,,statement/Q65009149-6d7956be-414e-45a9-c960-6d8707cc1ade
Q65009743,Q19305384,2019-06-11,,,,statement/Q65009743-c90f2d34-4a45-76f4-8d5e-d226278d9ef4
Q65028329,Q19305384,2019-06-11,,,,statement/Q65028329-360861da-4ec9-d53a-8b20-08f1bc72dfa7
Q65037345,Q19305384,2019-06-11,,,,statement/Q65037345-5fd64215-4d0d-62b9-64bb-baba68844bce
Q65055093,Q19305384,2019-06-11,,,,statement/Q65055093-e332eb11-4791-e8aa-b222-c6e6952eaec2
Q65128077,Q19305384,2019-06-11,,,,statement/Q65128077-af24f045-446d-7c6f-4b14-d235492261bc
Q67210071,Q19305384,2019-09-10,2019-11-13,,,statement/Q67210071-ddad272b-48b9-4ca1-9335-41e4fbf77a61
Q67210071,Q19305384,2020-02-18,,,,statement/Q67210071-6460a15f-497b-8956-17d8-5f6ced491f77
Q6794520,Q19305384,2017-10-31,2018-02-14,,,statement/Q6794520-8ccff796-4409-5915-7b72-aeac9f2bdc1a
Q6794520,Q19305384,2018-03-20,2018-07-04,,,statement/Q6794520-766a78c7-4fef-10ea-8867-eb3a91d9b6bf
Q6794520,Q19305384,2018-10-16,2019-06-11,,,statement/Q6794520-8689432a-599f-4cb4-94fe-3c7399d1be7a
Q704888,Q19305384,2007-06-12,2015-06-09,,,statement/Q704888-2086f2b1-45c1-d47a-3464-9b30ceb24c52
Q704888,Q19305384,2018-06-26,2019-06-11,,,statement/Q704888-8188EB66-45B9-4231-8677-92464CF84AA0
Q7509790,Q19305384,1991-06-11,2001-06-12,,,statement/Q7509790-658A571F-8741-49A7-8131-AA38EE551449
Q762030,Q19305384,2011-06-07,2012-10-23,,,statement/Q762030-C92336EA-7D18-48E3-BB15-E6B74951B5B4
Q78112,Q19305384,2007-06-12,2011-06-07,,,statement/Q78112-5C834FCD-3A1D-4BFB-B5AE-2530F427A1C3
Q8062513,Q19305384,1999-06-08,2009-11-01,,,statement/Q8062513-72FE7CB4-987E-48DE-A9AE-54289189F367
Q941452,Q19305384,2014-07-08,2015-06-09,,,statement/Q941452-4B2A6AC7-D551-47B6-8013-8305B1505876
Q952623,Q19305384,2003-06-10,2007-02-22,,,statement/Q952623-0EEDCEB9-9AA4-41F6-B1BF-91B6CAA78B66
Q956390,Q19305384,2019-06-11,2020-12-08,,,statement/Q956390-367bd851-41e8-afd7-9865-8856c49f7598
Q956390,Q19305384,2020-12-08,,,,statement/Q956390-25345a4b-4500-f83d-9b93-3f98f3053752
Q58115,Q19305384,1999-06-08,2010-10-14,,,statement/Q58115-FE58FF93-22E2-4243-BAC6-F503D9B675B2
